"","EmployeeID","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeCount","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","Over18","PercentSalaryHike","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","work_duration","Leaves","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating"
"20",20,38,"No","Travel_Rarely","Research & Development",8,"3","Life Sciences",1,"Female","1","Manager","Divorced",68700,1,"Y",11,8,1,8,5,8,7,7,9.3,18,"1","1","3","3","3"
"21",21,26,"No","Travel_Frequently","Research & Development",1,"4","Other",1,"Male","2","Laboratory Technician","Divorced",104470,1,"Y",18,8,0,6,3,6,1,4,7.6,17,"3","2","1","3","3"
"22",22,50,"No","Travel_Rarely","Sales",8,"4","Life Sciences",1,"Male","1","Research Scientist","Divorced",96670,3,"Y",23,8,0,28,2,10,1,6,6,16,"1","2","2","2","4"
"23",23,53,"No","Travel_Rarely","Research & Development",11,"4","Life Sciences",1,"Female","2","Research Scientist","Married",21480,3,"Y",11,8,0,21,2,5,1,3,8.4,17,"3","3","2","3","3"
"24",24,42,"No","Travel_Rarely","Research & Development",4,"4","Life Sciences",1,"Male","1","Manufacturing Director","Married",89260,1,"Y",14,8,0,NA,4,20,11,6,6.8,7,"2","3","3","1","3"
"25",25,29,"No","Travel_Frequently","Research & Development",16,"4","Medical",1,"Male","1","Laboratory Technician","Single",65130,1,"Y",11,8,1,10,2,10,0,9,7.1,18,"2","4","2","3","3"
"26",26,55,"No","Travel_Rarely","Research & Development",1,"4","Other",1,"Female","1","Research Scientist","Married",67990,3,"Y",11,8,0,12,2,10,0,8,9.4,8,"2","4","3","3","3"
"27",27,26,"No","Travel_Frequently","Research & Development",9,"3","Life Sciences",1,"Female","1","Manager","Married",162910,1,"Y",22,8,0,5,3,5,3,3,11,10,"1","1","3","3","4"
"28",28,37,"No","Travel_Rarely","Sales",5,"1","Marketing",1,"Male","1","Research Scientist","Single",27050,1,"Y",11,8,0,17,2,17,5,7,7.6,13,"4","4","3","3","3"
"29",29,44,"Yes","Travel_Frequently","Research & Development",1,"2","Medical",1,"Male","2","Research Scientist","Divorced",103330,3,"Y",14,8,1,19,2,1,0,0,11,6,"4","3","1","2","3"
"30",30,38,"No","Travel_Rarely","Sales",2,"3","Marketing",1,"Female","1","Manager","Divorced",44480,9,"Y",12,8,0,10,3,2,1,2,6.8,19,"4","4","3","2","3"
"31",31,26,"Yes","Travel_Rarely","Research & Development",4,"3","Medical",1,"Male","3","Research Scientist","Divorced",68540,2,"Y",11,8,0,5,5,3,0,2,10,11,"1","2","3","2","3"
"32",32,28,"No","Travel_Rarely","Research & Development",7,"3","Other",1,"Male","1","Human Resources","Single",96370,1,"Y",13,8,0,5,6,5,0,2,6.7,7,"4","4","3","2","3"
"33",33,49,"No","Travel_Frequently","Research & Development",1,"1","Medical",1,"Female","2","Research Scientist","Single",35910,9,"Y",13,8,0,22,2,3,1,2,11,15,"3","1","3","3","3"
"34",34,36,"No","Travel_Rarely","Sales",5,"3","Technical Degree",1,"Male","3","Sales Executive","Single",54050,4,"Y",14,8,0,10,2,8,7,7,6.2,6,"3","2","3","3","3"
"35",35,31,"No","Travel_Frequently","Research & Development",9,"4","Medical",1,"Male","1","Sales Executive","Divorced",46840,1,"Y",16,8,1,2,4,2,2,2,6.6,9,"4","2","2","3","3"
"36",36,26,"Yes","Travel_Rarely","Research & Development",8,"3","Medical",1,"Male","2","Manager","Single",157870,1,"Y",12,8,2,8,5,8,7,4,10,17,"4","4","3","3","3"
"37",37,37,"No","Travel_Frequently","Sales",9,"1","Marketing",1,"Male","1","Laboratory Technician","Married",15140,1,"Y",14,8,0,4,3,4,1,2,10,7,"2","4","2","3","3"
"38",38,42,"No","Travel_Frequently","Sales",2,"2","Marketing",1,"Male","3","Research Director","Married",29560,5,"Y",13,8,0,23,2,20,4,8,6,19,"3","2","4","3","3"
"39",39,18,"Yes","Travel_Rarely","Research & Development",1,"4","Life Sciences",1,"Male","1","Sales Executive","Single",23350,1,"Y",14,8,2,0,3,0,0,0,6.8,22,"3","3","3","2","3"
"40",40,35,"No","Travel_Rarely","Sales",20,"2","Life Sciences",1,"Male","1","Laboratory Technician","Married",51540,0,"Y",19,8,0,12,2,11,6,9,7.7,10,"3","2","2","2","3"
"41",41,36,"No","Travel_Frequently","Research & Development",8,"3","Other",1,"Female","3","Sales Executive","Married",69620,4,"Y",12,8,2,4,2,1,0,0,7.2,5,"3","unknown","3","2","3"
"42",42,51,"No","Travel_Rarely","Research & Development",2,"3","Life Sciences",1,"Male","2","Laboratory Technician","Divorced",56750,5,"Y",13,8,0,13,2,4,1,2,7.6,14,"4","2","3","2","3"
"43",43,41,"No","Travel_Rarely","Research & Development",29,"1","Life Sciences",1,"Male","1","Laboratory Technician","Single",23790,1,"Y",12,8,0,22,6,22,0,4,7,7,"4","2","3","3","3"
"44",44,18,"No","Travel_Rarely","Sales",7,"3","Life Sciences",1,"Male","1","Research Scientist","Single",38120,1,"Y",15,8,0,0,3,0,0,0,7,9,"4","3","3","3","3"
"45",45,28,"No","Travel_Rarely","Research & Development",9,"3","Medical",1,"Male","1","Sales Representative","Single",46480,0,"Y",23,8,2,9,2,8,0,7,7.2,5,"2","1","3","2","4"
"46",46,31,"No","Travel_Rarely","Research & Development",8,"1","Technical Degree",1,"Male","1","Manufacturing Director","Married",29360,4,"Y",12,8,1,10,2,8,7,7,7.2,9,"2","4","2","3","3"
"47",47,39,"No","Travel_Rarely","Sales",5,"4","Marketing",1,"Female","2","Human Resources","Divorced",21050,0,"Y",20,8,0,19,3,18,3,7,7.6,14,"3","4","2","3","4"
"48",48,36,"No","Non-Travel","Research & Development",5,"4","Life Sciences",1,"Male","1","Sales Executive","Married",85780,7,"Y",21,8,0,11,4,9,0,8,7.8,12,"2","2","3","3","4"
"49",49,32,"No","Travel_Rarely","Sales",2,"3","Marketing",1,"Male","2","Laboratory Technician","Married",27060,1,"Y",21,8,1,13,4,13,4,8,7,22,"4","3","2","3","4"
"50",50,38,"No","Travel_Rarely","Research & Development",5,"2","Life Sciences",1,"Female","3","Research Scientist","Married",63840,3,"Y",19,8,2,19,4,10,0,1,6.9,21,"1","2","3","2","3"
"51",51,58,"No","Non-Travel","Research & Development",2,"3","Life Sciences",1,"Male","2","Manufacturing Director","Divorced",39680,2,"Y",13,8,2,12,3,5,1,2,11,7,"4","3","3","2","3"
"52",52,31,"No","Travel_Rarely","Research & Development",20,"1","Technical Degree",1,"Female","3","Research Scientist","Married",99070,0,"Y",13,8,1,6,3,5,0,3,9.1,12,"3","4","3","2","3"
"53",53,31,"No","Travel_Rarely","Sales",7,"4","Marketing",1,"Male","2","Sales Executive","Married",132250,3,"Y",21,8,1,9,2,2,1,0,6.8,10,"1","1","3","3","4"
"54",54,45,"No","Travel_Frequently","Research & Development",3,"1","Medical",1,"Female","1","Sales Executive","Divorced",35400,1,"Y",13,8,0,24,6,24,9,11,7.3,13,"1","1","3","3","3"
"55",55,31,"No","Travel_Rarely","Sales",16,"4","Marketing",1,"Female","2","Research Scientist","Divorced",28040,0,"Y",19,8,2,3,0,2,2,2,8.6,5,"3","4","1","3","3"
"56",56,33,"No","Travel_Frequently","Research & Development",9,"3","Life Sciences",1,"Male","4","Research Director","Married",193920,6,"Y",12,8,1,12,3,10,8,8,6.8,12,"4","2","3","3","3"
"57",57,39,"No","Travel_Rarely","Sales",1,"4","Life Sciences",1,"Male","1","Sales Executive","Married",196650,1,"Y",22,8,1,21,6,21,11,10,11,4,"3","1","3","3","4"
"58",58,43,"No","Travel_Frequently","Research & Development",7,"4","Medical",1,"Male","4","Research Scientist","Single",24390,0,"Y",15,8,0,9,2,8,1,7,7.7,22,"3","4","3","3","3"
"59",59,49,"No","Travel_Rarely","Research & Development",1,"3","Life Sciences",1,"Male","3","Manufacturing Director","Single",73140,7,"Y",22,8,0,25,2,7,0,7,9.9,6,"3","3","3","3","4"
"60",60,52,"Yes","Travel_Rarely","Research & Development",7,"1","Life Sciences",1,"Female","2","Research Scientist","Married",47740,2,"Y",18,8,1,11,2,8,7,7,7.9,10,"3","2","2","3","3"
"61",61,27,"No","Travel_Rarely","Research & Development",15,"4","Medical",1,"Male","3","Research Scientist","Single",39020,1,"Y",22,8,0,4,2,4,1,2,11,5,"3","2","2","3","4"
"62",62,32,"No","Travel_Rarely","Research & Development",1,"3","Life Sciences",1,"Male","3","Research Scientist","Married",26620,1,"Y",11,8,1,13,6,13,11,9,10,10,"3","2","3","4","3"
"63",63,27,"No","Travel_Rarely","Research & Development",13,"2","Medical",1,"Female","4","Research Director","Single",28560,1,"Y",12,8,2,5,5,5,0,4,10,18,"4","3","3","4","3"
"64",64,31,"No","Travel_Rarely","Sales",24,"3","Life Sciences",1,"Male","2","Healthcare Representative","Divorced",10810,4,"Y",11,8,3,13,4,7,1,7,6.6,6,"4","4","3","4","3"
"65",65,32,"No","Travel_Rarely","Research & Development",7,"3","Technical Degree",1,"Male","2","Healthcare Representative","Single",24720,7,"Y",13,8,0,10,2,7,0,7,7.5,12,"1","4","2","3","3"
"66",66,28,"Yes","Travel_Rarely","Research & Development",9,"4","Medical",1,"Male","1","Sales Executive","Married",56730,5,"Y",14,8,1,5,4,3,2,2,11,2,"1","4","2","2","3"
"67",67,30,"No","Travel_Rarely","Research & Development",13,"3","Life Sciences",1,"Female","4","Research Director","Married",41970,1,"Y",13,8,0,11,3,10,1,9,6.2,17,"4","4","3","3","3"
"68",68,31,"No","Travel_Frequently","Research & Development",2,"1","Life Sciences",1,"Female","1","Manager","Married",97130,1,"Y",17,8,0,10,5,10,8,9,6.6,22,"3","3","3","2","3"
"69",69,39,"No","Travel_Frequently","Research & Development",19,"4","Medical",1,"Female","1","Research Scientist","Married",20620,1,"Y",13,8,0,21,4,21,13,3,6.1,21,"3","4","3","3","3"
"70",70,39,"Yes","Travel_Rarely","Research & Development",1,"1","Medical",1,"Female","1","Laboratory Technician","Married",42840,4,"Y",17,8,1,12,0,1,0,0,10,3,"4","3","2","3","3"
"71",71,33,"No","Travel_Frequently","Sales",4,"2","Life Sciences",1,"Male","4","Research Scientist","Single",47880,3,"Y",11,8,1,9,0,7,0,1,7.4,7,"2","4","2","3","3"
"72",72,47,"No","Travel_Rarely","Research & Development",4,"3","Life Sciences",1,"Female","2","Healthcare Representative","Married",59060,4,"Y",23,8,0,21,4,3,1,1,6.5,6,"4","3","3","4","4"
"73",73,43,"No","Travel_Frequently","Research & Development",14,"3","Medical",1,"Female","5","Research Director","Divorced",38860,1,"Y",17,8,2,9,2,9,0,0,6.3,14,"3","3","4","3","3"
"74",74,27,"No","Non-Travel","Research & Development",2,"3","Life Sciences",1,"Male","1","Research Director","Married",168230,0,"Y",17,8,0,6,3,5,1,4,9.3,18,"3","2","3","3","3"
"75",75,54,"No","Travel_Frequently","Research & Development",1,"4","Life Sciences",1,"Male","2","Research Scientist","Single",29330,3,"Y",12,8,2,20,2,4,0,3,6.1,17,"4","3","2","3","3"
"76",76,43,"No","Travel_Rarely","Research & Development",7,"2","Life Sciences",1,"Female","2","Manager","Married",65000,8,"Y",23,8,0,10,3,1,0,0,7.2,11,"3","1","2","3","4"
"77",77,45,"No","Travel_Rarely","Sales",3,"1","Marketing",1,"Female","1","Sales Executive","Married",171740,9,"Y",14,8,1,12,6,10,9,8,7.1,7,"4","4","3","3","3"
"78",78,40,"No","Travel_Rarely","Research & Development",2,"4","Other",1,"Male","4","Research Scientist","Married",50330,2,"Y",14,8,2,6,6,4,0,2,9.9,18,"2","4","2","3","3"
"79",79,29,"Yes","Travel_Rarely","Research & Development",29,"3","Medical",1,"Female","1","Research Scientist","Married",23070,1,"Y",13,8,1,7,0,7,0,7,10,19,"2","1","2","3","3"
"80",80,29,"No","Travel_Rarely","Human Resources",8,"3","Medical",1,"Male","3","Sales Representative","Single",25870,0,"Y",22,8,2,4,3,3,2,2,6.9,10,"2","4","3","3","4"
"81",81,30,"No","Travel_Rarely","Research & Development",10,"3","Life Sciences",1,"Male","2","Research Scientist","Divorced",55070,1,"Y",12,8,2,10,2,10,1,2,7.6,17,"4","3","3","2","3"
"82",82,27,"No","Travel_Rarely","Research & Development",11,"2","Medical",1,"Male","1","Manager","Married",43930,1,"Y",18,8,1,8,2,8,0,7,6.1,5,"2","2","3","2","3"
"83",83,37,"No","Travel_Rarely","Sales",1,"4","Life Sciences",1,"Male","2","Healthcare Representative","Divorced",133480,7,"Y",14,8,0,8,4,6,0,4,6,13,"4","4","2","3","3"
"84",84,38,"No","Travel_Rarely","Research & Development",28,"4","Medical",1,"Male","1","Laboratory Technician","Divorced",65830,0,"Y",12,8,0,12,1,11,2,9,9,7,"3","4","3","3","3"
"85",85,31,"No","Travel_Rarely","Research & Development",6,"3","Medical",1,"Female","3","Manager","Single",81030,1,"Y",15,8,1,11,5,11,4,10,10,11,"3","4","unknown","3","3"
"86",86,29,"No","Travel_Rarely","Research & Development",3,"4","Life Sciences",1,"Male","3","Sales Executive","Divorced",39780,1,"Y",11,8,0,7,0,7,1,7,8.4,5,"4","2","3","3","3"
"87",87,35,"No","Travel_Rarely","Sales",16,"2","Technical Degree",1,"Male","3","Manager","Single",25440,0,"Y",13,8,1,17,3,16,0,13,7.9,16,"3","2","3","4","3"
"88",88,23,"No","Travel_Rarely","Research & Development",20,"4","Life Sciences",1,"Male","1","Manufacturing Director","Divorced",53990,1,"Y",23,8,0,4,2,4,0,2,7.1,12,"3","4","2","2","4"
"89",89,41,"No","Travel_Rarely","Research & Development",9,"2","Life Sciences",1,"Female","1","Laboratory Technician","Single",54870,6,"Y",19,8,2,8,0,5,1,2,9.7,10,"4","2","3","3","3"
"90",90,47,"No","Travel_Frequently","Sales",1,"3","Medical",1,"Female","2","Laboratory Technician","Single",68340,3,"Y",16,8,1,5,2,0,0,0,7.8,10,"2","3","3","4","3"
"91",91,42,"No","Travel_Rarely","Research & Development",3,"4","Life Sciences",1,"Male","1","Manager","Single",10910,2,"Y",22,8,0,16,0,1,0,0,6.3,12,"1","4","3","1","4"
"92",92,29,"No","Non-Travel","Sales",22,"4","Marketing",1,"Male","2","Human Resources","Married",57360,1,"Y",22,8,0,4,1,4,0,2,6.3,16,"4","3","2","2","4"
"93",93,42,"No","Travel_Rarely","Sales",7,"4","Medical",1,"Male","3","Research Scientist","Divorced",22260,0,"Y",12,8,1,4,3,3,1,0,8.8,21,"3","3","3","2","3"
"94",94,32,"No","Travel_Rarely","Research & Development",2,"3","Medical",1,"Male","2","Research Scientist","Married",57470,1,"Y",13,8,0,8,0,8,0,7,7.7,18,"3","2","3","3","3"
"95",95,48,"No","Travel_Rarely","Sales",13,"4","Medical",1,"Male","4","Sales Executive","Married",98540,3,"Y",16,8,1,15,2,0,0,0,7.3,16,"1","3","1","2","3"
"96",96,37,"No","Travel_Rarely","Research & Development",8,"5","Technical Degree",1,"Male","2","Manufacturing Director","Divorced",54670,4,"Y",12,8,0,13,2,7,6,7,11,2,"3","1","3","3","3"
"97",97,30,"No","Non-Travel","Sales",25,"4","Other",1,"Male","1","Healthcare Representative","Married",53800,7,"Y",21,8,1,4,0,2,2,2,10,4,"4","3","4","3","4"
"98",98,26,"No","Travel_Rarely","Sales",28,"3","Medical",1,"Female","5","Laboratory Technician","Married",51510,1,"Y",15,8,3,8,3,8,7,7,6,6,"3","3","3","3","3"
"99",99,42,"No","Travel_Rarely","Sales",2,"2","Medical",1,"Female","1","Laboratory Technician","Single",21330,3,"Y",13,8,2,14,2,1,0,0,6.1,10,"1","4","3","3","3"
"100",100,21,"Yes","Travel_Frequently","Research & Development",9,"3","Medical",1,"Female","4","Manufacturing Director","Single",178750,1,"Y",12,8,0,3,5,3,1,2,8.1,5,"1","2","3","2","3"
"101",101,36,"No","Non-Travel","Human Resources",28,"3","Human Resources",1,"Male","2","Laboratory Technician","Single",24320,4,"Y",22,8,0,7,4,1,0,0,7.3,17,"4","4","3","1","4"
"102",102,36,"No","Travel_Frequently","Research & Development",6,"3","Life Sciences",1,"Female","2","Research Scientist","Married",47710,4,"Y",13,8,1,16,2,13,1,12,7.1,11,"1","4","3","3","3"
"103",103,57,"No","Travel_Rarely","Research & Development",21,"4","Life Sciences",1,"Male","5","Research Scientist","Married",191610,2,"Y",18,8,0,15,2,3,1,2,6.3,14,"4","3","3","1","3"
"104",104,40,"No","Travel_Rarely","Research & Development",8,"3","Other",1,"Male","2","Sales Executive","Married",50870,3,"Y",14,8,1,10,3,7,1,7,8.1,16,"4","3","3","3","3"
"105",105,21,"No","Non-Travel","Research & Development",1,"5","Life Sciences",1,"Female","2","Manager","Single",28630,1,"Y",14,8,0,3,2,3,2,2,8,20,"1","4","2","1","3"
"106",106,33,"Yes","Travel_Rarely","Human Resources",28,"2","Human Resources",1,"Female","5","Manager","Single",55610,1,"Y",21,8,1,1,3,1,0,0,11,18,"4","3","3","1","4"
"107",107,37,"No","Travel_Rarely","Research & Development",5,"3","Life Sciences",1,"Male","4","Research Scientist","Married",21440,6,"Y",19,8,0,17,3,5,0,3,8,18,"3","1","3","4","3"
"108",108,46,"No","Non-Travel","Sales",2,"4","Marketing",1,"Female","2","Laboratory Technician","Married",30650,2,"Y",11,8,0,7,3,1,0,0,6.1,21,"3","3","4","3","3"
"109",109,41,"Yes","Travel_Frequently","Research & Development",16,"1","Medical",1,"Female","1","Research Scientist","Single",28100,1,"Y",11,8,0,8,3,8,7,7,7.6,16,"1","2","3","4","3"
"110",110,50,"No","Travel_Rarely","Research & Development",9,"3","Medical",1,"Female","3","Laboratory Technician","Single",98880,6,"Y",15,8,0,20,2,4,1,3,6.9,19,"4","4","3","3","3"
"111",111,40,"Yes","Travel_Rarely","Research & Development",8,"3","Medical",1,"Female","1","Healthcare Representative","Married",86280,2,"Y",20,8,0,8,2,6,1,0,9.3,15,"3","3","3","2","4"
"112",112,31,"No","Travel_Rarely","Research & Development",1,"3","Life Sciences",1,"Male","4","Human Resources","Single",28670,0,"Y",24,8,0,3,5,2,2,2,11,3,"unknown","2","3","3","4"
"113",113,21,"Yes","Travel_Rarely","Human Resources",10,"2","Human Resources",1,"Male","1","Laboratory Technician","Single",53730,1,"Y",12,8,1,1,2,1,0,0,6,19,"3","2","3","3","3"
"114",114,29,"No","Travel_Rarely","Research & Development",1,"3","Life Sciences",1,"Female","2","Research Director","Single",66670,9,"Y",12,8,1,6,6,3,1,2,7.8,4,"4","4","3","4","3"
"115",115,35,"No","Travel_Rarely","Research & Development",29,"3","Life Sciences",1,"Female","3","Sales Executive","Single",50030,9,"Y",15,8,0,10,2,1,0,0,7.7,13,"3","2","3","3","3"
"116",116,27,"No","Travel_Rarely","Sales",2,"3","Life Sciences",1,"Male","1","Sales Executive","Divorced",23670,NA,"Y",12,8,1,5,2,5,0,4,6.2,15,"4","2","3","3","3"
"117",117,28,"No","Travel_Rarely","Research & Development",2,"2","Medical",1,"Male","3","Manager","Single",28580,1,"Y",12,8,0,7,2,7,0,7,7.1,17,"2","4","3","2","3"
"118",118,49,"No","Travel_Rarely","Sales",2,"3","Technical Degree",1,"Male","2","Manufacturing Director","Single",52040,8,"Y",14,8,1,26,3,5,0,0,7.8,9,"2","3","3","3","3"
"119",119,51,"No","Travel_Rarely","Research & Development",1,"2","Life Sciences",1,"Male","1","Sales Executive","Married",41050,4,"Y",22,8,1,18,2,7,0,7,7.6,21,"3","4","2","3","4"
"120",120,36,"No","Travel_Rarely","Sales",15,"2","Life Sciences",1,"Male","1","Sales Executive","Married",96790,4,"Y",12,8,0,6,1,2,2,2,6,15,"4","3","3","3","3"
"121",121,34,"Yes","Non-Travel","Research & Development",7,"3","Life Sciences",1,"Male","1","Sales Representative","Single",56170,8,"Y",25,8,1,9,3,5,0,4,9.1,14,"1","4","2","3","4"
"122",122,55,"No","Travel_Rarely","Sales",26,"3","Marketing",1,"Male","1","Laboratory Technician","Single",104480,2,"Y",13,8,0,30,3,5,1,2,8.7,13,"3","4","3","3","3"
"123",123,24,"No","Travel_Rarely","Research & Development",1,"3","Life Sciences",1,"Female","5","Manager","Divorced",28970,1,"Y",18,8,3,5,4,5,0,3,10,19,"4","3","4","3","3"
"124",124,30,"No","Travel_Rarely","Research & Development",3,"3","Life Sciences",1,"Female","2","Manager","Married",59680,1,"Y",13,8,0,1,3,1,0,0,6.9,18,"3","2","3","3","3"
"125",125,26,"Yes","Travel_Frequently","Sales",14,"3","Life Sciences",1,"Male","2","Manager","Single",75100,0,"Y",18,8,3,7,3,6,0,4,7,9,"3","unknown","3","3","3"
"126",126,22,"No","Travel_Rarely","Research & Development",16,"5","Other",1,"Male","1","Research Scientist","Married",29910,1,"Y",19,8,2,2,3,2,1,2,6.3,18,"1","2","3","2","3"
"127",127,36,"No","Travel_Rarely","Research & Development",1,"3","Medical",1,"Female","5","Healthcare Representative","Married",196360,1,"Y",12,8,1,10,3,10,9,0,6.4,13,"2","3","3","3","3"
"128",128,30,"Yes","Travel_Frequently","Sales",3,"2","Marketing",1,"Male","3","Research Scientist","Single",11290,9,"Y",19,8,0,3,2,1,0,0,8.2,9,"3","4","3","2","3"
"129",129,37,"No","Travel_Rarely","Research & Development",10,"1","Technical Degree",1,"Male","1","Sales Executive","Divorced",133410,1,"Y",14,8,1,18,3,18,12,17,6.5,9,"4","1","2","3","3"
"130",130,40,"No","Travel_Rarely","Research & Development",6,"2","Medical",1,"Male","3","Research Scientist","Divorced",43320,7,"Y",14,8,2,8,3,5,1,3,6.7,19,"4","2","3","2","3"
"131",131,42,"No","Travel_Rarely","Research & Development",2,"3","Medical",1,"Female","4","Manager","Divorced",110310,3,"Y",12,8,1,8,2,5,1,2,7.5,14,"2","1","3","2","3"
"132",132,37,"No","Travel_Rarely","Sales",9,"1","Marketing",1,"Male","3","Sales Executive","Single",44400,2,"Y",11,8,1,18,3,1,0,1,9.9,4,"3","2","2","2","3"
"133",133,43,"No","Travel_Rarely","Sales",10,"2","Life Sciences",1,"Female","1","Sales Executive","Divorced",46170,1,"Y",11,8,0,25,2,25,3,9,7.4,14,"1","2","3","3","3"
"134",134,40,"No","Travel_Rarely","Sales",6,"2","Life Sciences",1,"Female","1","Laboratory Technician","Married",26470,6,"Y",13,8,0,20,2,1,0,0,7.5,11,"2","3","3","2","3"
"135",135,54,"No","Travel_Rarely","Human Resources",9,"3","Life Sciences",1,"Female","2","Manufacturing Director","Married",63230,4,"Y",23,8,1,24,2,4,1,2,6,22,"1","1","2","2","4"
"136",136,34,"No","Non-Travel","Research & Development",28,"3","Medical",1,"Male","1","Laboratory Technician","Married",56770,9,"Y",20,8,1,6,3,3,1,2,6.9,15,"3","3","3","3","4"
"137",137,31,"No","Travel_Rarely","Research & Development",10,"4","Life Sciences",1,"Male","3","Sales Executive","Married",21870,1,"Y",15,8,1,13,2,13,3,12,6.1,17,"2","1","1","2","3"
"138",138,43,"No","Travel_Frequently","Sales",14,"3","Life Sciences",1,"Female","1","Manufacturing Director","Married",37480,7,"Y",14,8,2,NA,3,3,1,2,7.7,22,"4","4","3","2","3"
"139",139,43,"No","Travel_Rarely","Sales",27,"4","Life Sciences",1,"Male","2","Sales Representative","Divorced",39770,4,"Y",18,8,1,8,3,5,0,2,8.9,11,"3","3","3","3","3"
"140",140,25,"No","Travel_Rarely","Human Resources",7,"2","Human Resources",1,"Male","1","Manufacturing Director","Single",86330,1,"Y",19,8,1,5,2,5,1,3,11,17,"2","4","3","4","3"
