"","EmployeeID","Jan_avg_workhours","Feb_avg_workhours","Mar_avg_workhours","Apr_avg_workhours","May_avg_workhours","Jun_avg_workhours","Jul_avg_workhours","Aug_avg_workhours","Sep_avg_workhours","Oct_avg_workhours","Nov_avg_workhours","Dec_avg_workhours"
"228","228",7.8,7.9,7.9,7.8,7.9,7.9,8,7.9,7.9,7.8,7.9,7.9
"229","229",9,8.8,8.8,8.9,8.8,8.9,8.9,8.8,9,8.8,8.9,9
"230","230",7,7.2,7,7.1,7.1,7.1,7,7.1,7.2,7,7.1,7.2
"231","231",7.5,7.6,7.4,7.6,7.4,7.5,7.6,7.4,7.5,7.5,7.5,7.5
"232","232",8.7,8.7,8.6,8.6,8.6,8.7,8.7,8.8,8.7,8.7,8.7,8.7
"233","233",7,6.9,6.8,6.8,6.7,6.8,6.8,6.8,6.8,6.8,6.6,6.8
"234","234",9,9.1,9.1,9.1,9.2,9.2,9,9.2,9.2,9.1,9.1,9.2
"235","235",7,7,7,7.2,7,7,7.1,7,6.9,6.9,7.1,7
"236","236",6.6,6.6,6.8,6.6,6.7,6.8,6.7,6.7,6.7,6.8,6.7,6.8
"237","237",8.4,8.5,8.3,8.3,8.3,8.4,8.4,8.5,8.4,8.5,8.3,8.5
"238","238",6.5,6.4,6.5,6.5,6.4,6.6,6.4,6.5,6.5,6.5,6.5,6.5
"239","239",7.3,7.3,7.2,7.2,7.1,7.2,7.3,7.2,7.3,7.2,7.2,7.3
"240","240",8.7,8.7,8.8,8.7,8.8,8.7,8.6,8.6,8.7,8.7,8.6,8.6
"241","241",6,6,6.1,5.9,6.1,6.1,6.1,5.9,5.9,6.1,6,6.2
"242","242",7.3,7.2,7.3,7.2,7.3,7.2,7.4,7.4,7.3,7.3,7.2,7.3
"243","243",9.5,9.3,9.4,9.3,9.5,9.3,9.4,9.4,9.4,9.4,9.3,9.4
"244","244",7.3,7.3,7.3,7.4,7.2,7.3,7.3,7.4,7.3,7.3,7.3,7.2
"245","245",7,7.1,7,7.1,7.1,7.2,7.1,7.1,7.1,7.1,7.2,7.1
"246","246",7.4,7.5,7.4,7.4,7.5,7.5,7.5,7.4,7.4,7.4,7.4,7.3
"247","247",7.5,7.6,7.6,7.6,7.7,7.7,7.6,7.6,7.4,7.6,7.5,7.6
"248","248",9.9,10,10,9.9,10,9.9,9.9,10,9.9,9.8,10,10
"249","249",6.3,6.2,6.2,6.2,6.2,6.2,6.2,6.1,6.3,6.2,6.1,6.3
"250","250",6.9,6.9,6.8,6.7,6.7,6.9,6.8,6.7,6.9,6.7,6.8,6.8
"251","251",6.7,6.6,6.6,6.7,6.7,6.7,6.7,6.5,6.8,6.5,6.6,6.7
"252","252",7.6,7.5,7.3,7.6,7.5,7.5,7.6,7.5,7.5,7.5,7.7,7.5
"253","253",6.4,6.5,6.4,6.3,6.5,6.5,6.5,6.5,6.2,6.5,6.4,6.4
"254","254",11,11,11,11,11,11,11,11,11,11,11,11
"255","255",7,7.1,6.9,7.1,7,7,7,7,7,7,7,7
"256","256",8.6,8.6,8.6,8.7,8.6,8.6,8.6,8.6,8.6,8.6,8.5,8.7
"257","257",10,10,10,10,10,10,11,10,10,10,10,10
"258","258",6.7,6.7,6.7,6.8,6.8,6.8,6.6,6.7,6.8,6.6,6.8,6.8
"259","259",7,7.1,7.1,7.1,7,7.2,7.1,7.1,7.1,7.1,7.2,7
"260","260",7.7,7.7,7.5,7.8,7.6,7.7,7.7,7.7,7.7,7.8,7.7,7.7
"261","261",6.8,6.9,6.9,6.9,6.7,6.8,6.7,6.7,6.8,6.8,6.7,6.8
"262","262",7.9,7.8,7.7,7.8,7.8,7.7,7.8,7.8,7.8,7.8,7.9,7.8
"263","263",7.1,7,7.1,7.2,7,7.2,7.1,7.2,7.1,7,7,7.2
"264","264",8.8,8.9,8.9,8.9,9,8.9,8.9,8.9,8.9,8.9,8.8,9
"265","265",7.6,7.7,7.6,7.5,7.6,7.6,7.7,7.6,7.6,7.7,7.5,7.6
"266","266",9.2,8.9,9.1,9.1,9.2,9,9.1,9.1,9.2,9.1,9.2,9.2
"267","267",6.8,6.8,6.7,6.7,6.9,6.9,6.8,6.8,6.9,6.8,6.9,6.8
"268","268",7.5,7.5,7.5,7.5,7.4,7.5,7.6,7.5,7.5,7.6,7.5,7.5
"269","269",6.7,6.7,6.6,6.7,6.7,6.8,6.7,6.7,6.7,6.7,6.8,6.7
"270","270",7.9,7.9,7.8,7.8,7.9,7.8,7.9,7.8,7.9,8,7.9,8.1
"271","271",8.2,8.2,8.3,8.2,8.2,8.3,8.2,8.1,8.2,8.2,8.2,8.2
"272","272",7.2,7.2,7.2,7.3,7,7.1,7.2,7.1,7.2,7.1,7.2,7.2
"273","273",6.4,6.4,6.6,6.5,6.6,6.4,6.6,6.5,6.5,6.4,6.6,6.6
"274","274",8,7.9,8,7.9,8.1,7.9,7.9,7.9,7.9,7.8,8,7.9
"275","275",6.7,6.8,6.7,6.8,6.7,6.7,6.8,6.7,6.7,6.7,6.7,6.6
"276","276",8.6,8.7,8.6,8.5,8.6,8.7,8.6,8.7,8.6,8.6,8.6,8.7
"277","277",6.9,6.8,6.8,6.7,6.8,6.7,6.7,6.7,6.7,6.7,6.7,6.7
"278","278",7.8,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.6,7.8,7.7,7.6
"279","279",6.7,6.6,6.6,6.6,6.7,6.5,6.6,6.6,6.6,6.6,6.6,6.7
"280","280",7.5,7.4,7.3,7.3,7.3,7.4,7.4,7.4,7.3,7.4,7.3,7.2
"281","281",6.1,6.1,6.1,6.2,6.2,6.1,6.2,6.2,6.1,6.2,6.2,6.2
"282","282",7.4,7.4,7.4,7.3,7.5,7.3,7.3,7.5,7.4,7.3,7.3,7.4
"283","283",8.1,8.2,8.1,8.1,8.2,8.2,8,8.2,8.1,7.9,8,8
"284","284",6,5.9,6,6,6.1,6,6,6,6,6,6.1,6
"285","285",9.9,9.8,9.7,9.8,9.7,9.8,9.8,9.8,9.9,9.9,9.8,9.9
